id,type,question,expected,flat_rag_answer,flat_rag_score,flat_rag_tokens,flat_rag_time,graph_rag_answer,graph_rag_score,graph_rag_tokens,graph_rag_time,graph_rag_seeds
q01,single_hop,Who founded OpenAI?,Sam Altman | Elon Musk | Ilya Sutskever | Greg Brockman,"OpenAI was founded by Elon Musk, Sam Altman, Ilya Sutskever, Greg Brockman, and seven other co-founders.",1,502,1.74,"OpenAI was founded by Elon Musk, Sam Altman, Ilya Sutskever, Greg Brockman, and seven other co-founders.",1,3197,2.79,OpenAI
q02,single_hop,When was Nvidia founded?,1993,"Nvidia was founded on April 5, 1993.",1,310,1.55,Nvidia was founded in 1993.,1,458,3.33,Nvidia
q03,single_hop,Who is the CEO of Microsoft?,Satya Nadella,Satya Nadella,1,394,1.68,Satya Nadella.,1,3183,1.43,Microsoft
q04,single_hop,What product is Anthropic known for?,Claude,"Anthropic is known for its flagship product, Claude, a series of large language models.",1,354,1.33,Claude,1,2611,1.79,Anthropic
q05,single_hop,Who acquired GitHub and for how much?,Microsoft | 7.5 billion,Microsoft acquired GitHub for $7.5 billion in stock.,1,488,1.03,Microsoft acquired GitHub for $7.5 billion.,1,1974,1.78,GitHub
q06,multi_hop,Who founded the company that owns Instagram?,Mark Zuckerberg | Eduardo Saverin | Dustin Moskovitz | Andrew McCollum | Chris Hughes,"Mark Zuckerberg, alongside Eduardo Saverin, Dustin Moskovitz, Andrew McCollum, and Chris Hughes, founded the company that owns Instagram.",1,439,2.37,"Meta Platforms, Inc. was founded by Mark Zuckerberg, Eduardo Saverin, Dustin Moskovitz, Andrew McCollum, and Chris Hughes.",1,714,2.36,Instagram
q07,multi_hop,Who is the CEO of the parent company that owns YouTube?,Sundar Pichai,Sundar Pichai,1,380,1.12,Sundar Pichai,1,1234,1.42,YouTube
q08,multi_hop,Which Elon Musk company acquired the social media platform formerly known as Twitter?,xAI,xAI acquired the social media platform formerly known as Twitter.,1,428,1.42,xAI acquired the social media platform formerly known as Twitter.,1,2609,4.37,Elon Musk | X (Twitter)
q09,multi_hop,Name three companies founded by alumni of PayPal.,YouTube | Tesla | LinkedIn | SpaceX,"YouTube, Tesla, LinkedIn.",1,380,1.15,I don't know.,0,1133,2.46,PayPal
q10,multi_hop,Which AI lab acquired by Google created AlphaGo?,DeepMind,DeepMind,1,464,0.85,DeepMind,1,2809,1.77,Google | AlphaGo
q11,multi_hop,Who founded the AI company whose CEO siblings used to work at OpenAI?,Dario Amodei | Daniela Amodei,"Anthropic was founded by seven former OpenAI employees, including siblings Dario Amodei and Daniela Amodei.",1,506,1.98,I don't know.,0,3191,1.68,OpenAI
q12,multi_hop,Microsoft has invested in OpenAI; what is OpenAI's main consumer product released in November 2022?,ChatGPT,OpenAI's main consumer product released in November 2022 is ChatGPT.,1,453,1.38,ChatGPT,1,4151,1.54,Microsoft | OpenAI
q13,multi_hop,"Which company developed CUDA, and who is its CEO?",Nvidia | Jensen Huang,"Nvidia Corporation developed CUDA, and its CEO is Jensen Huang.",1,422,1.54,"Nvidia developed CUDA, and its CEO is Jensen Huang.",1,1040,1.62,CUDA | Nvidia
q14,multi_hop,Who founded the company that owns WhatsApp?,Mark Zuckerberg | Eduardo Saverin | Dustin Moskovitz | Andrew McCollum | Chris Hughes,I don't know.,0,337,1.34,"Meta Platforms, Inc. owns WhatsApp, and it was founded by Mark Zuckerberg, Eduardo Saverin, Dustin Moskovitz, Andrew McCollum, and Chris Hughes.",1,1221,2.09,WhatsApp
q15,multi_hop,Tesla acquired SolarCity; who founded SolarCity?,Lyndon Rive | Peter Rive,SolarCity was founded by Lyndon Rive and Peter Rive.,1,415,1.12,SolarCity was founded by Lyndon Rive and Peter Rive.,1,1401,2.11,"Tesla, Inc. | SolarCity"
q16,multi_hop,Which subsidiary of Alphabet developed AlphaFold?,DeepMind,DeepMind developed AlphaFold.,1,369,1.33,DeepMind developed AlphaFold.,1,1621,1.67,Alphabet Inc. | AlphaFold
q17,multi_hop,Who is the CEO of the company that founded Tesla and the founder's other AI company?,Elon Musk | xAI,I don't know.,0,484,1.06,I don't know.,0,1235,1.63,"Tesla, Inc."
q18,trick,Did Apple acquire OpenAI?,no | not,I don't know.,1,475,1.06,I don't know.,1,3350,1.65,Apple Inc. | OpenAI
q19,trick,Was Anthropic founded by Sam Altman?,no | Dario Amodei,I don't know.,1,419,1.01,I don't know.,1,3225,1.59,Anthropic | Sam Altman
q20,trick,Who founded Google: Bill Gates or Larry Page?,Larry Page | Sergey Brin,Larry Page.,1,454,1.07,Larry Page.,1,3085,1.81,Google | Bill Gates | Larry Page
q21,multi_hop,Who established the company that acquired the developer of Red Hat Enterprise Linux?,Charles Ranlett Flint | Herman Hollerith | George Winthrop Fairchild,"IBM was established by Charles Ranlett Flint, Herman Hollerith, and George Winthrop Fairchild.",1,341,1.52,I don't know.,0,309,1.49,Red Hat Enterprise Linux
q22,multi_hop,Which programming language was gained by the company co-founded by Larry Ellison when it acquired another company in 2010?,Java,The Java programming language.,1,424,1.41,Java programming language.,1,1209,1.46,Larry Ellison | Oracle
q23,multi_hop,Who was an early investor in the company that acquired Slack in 2021?,Larry Ellison,"Larry Ellison was an early investor in Salesforce, the company that acquired Slack in 2021.",1,416,1.15,I don't know.,0,566,1.41,Slack
q24,multi_hop,Which smartglasses producer originally launched as Snapchat Inc. and who founded it?,Snap | Evan Spiegel | Bobby Murphy | Reggie Brown,"Snap Inc. originally launched as Snapchat Inc. and was founded by Evan Spiegel, Bobby Murphy, and Reggie Brown.",1,402,1.54,"Snap Inc. produces Spectacles smartglasses and was founded by Evan Spiegel, Bobby Murphy, and Reggie Brown.",1,430,1.83,Snapchat
q25,multi_hop,Name an early investor in Stripe who also co-founded the company that acquired SolarCity.,Elon Musk,Elon Musk.,1,373,1.08,I don't know.,0,1876,1.7,"Stripe, Inc. | SolarCity"
